"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"somclid_prkm"
"ENSMUSG00000064246_Chi3l1"	0.605	0.12	5.21	1.835	0.125	0.21	0.135	0.33	5
"ENSMUSG00000071856_Mcc"	0.42	0.54	4.65	4.93	1.325	1.155	0.71	0.655	5
"ENSMUSG00000014599_Csf1"	0.215	0.49	4.2	4.86	4.445	3.16	3.255	4.795	7
"ENSMUSG00000042842_Serpinb6b"	0.38	0.11	5.22	1.04	0.305	0.09	0.015	0.045	5
"ENSMUSG00000045319_5430407P10Rik"	4.95	1.4	3.55	2.725	0.695	0.52	0.545	0.42	3
"ENSMUSG00000050957_Insl6"	5.095	3.98	3.69	1.6	1.47	0.33	0.325	0.245	3
"ENSMUSG00000074674_Gm10742"	0.005	0.02	2.15	5.07	1.755	0.82	0.45	0.455	6
"ENSMUSG00000000731_Aire"	4.22	5.24	0.01	0.02	0.005	0	0.01	0	1
"ENSMUSG00000003949_Hlf"	0.2	0.43	0.15	0.31	1.28	2.14	3.185	5.13	10
"ENSMUSG00000031595_Pdgfrl"	0.52	1.23	3.19	4.95	0.565	0.43	0.185	0.7	5
"ENSMUSG00000055026_Gabrg3"	0.045	0.03	0.04	0.055	2.235	5.225	4.405	3.4	9
"ENSMUSG00000089661_Mia1"	2.305	5.25	0.36	0.32	0.365	0.05	0.07	0.11	2
"ENSMUSG00000016028_Celsr1"	4.52	4.97	3.95	1.075	1.02	0.135	0.09	0.065	3
"ENSMUSG00000025129_Dysfip1"	0.14	0.32	3.04	4.67	0	0	0.01	0.015	5
"ENSMUSG00000033170_Card10"	4.92	2.14	1.22	0.94	0.82	0.79	0.475	0.46	1
"ENSMUSG00000067604_Nms"	0	0	0.06	0.165	5.015	0.905	0.35	0.58	7
"ENSMUSG00000036109_Mbnl3"	2.625	2.47	5.29	1.605	0.775	0.16	0.055	0.015	4
"ENSMUSG00000038151_Prdm1"	2.625	5.29	1.06	0.17	0.335	0.055	0.015	0.025	2
"ENSMUSG00000024366_Gfra3"	0.385	0.14	5.3	0.42	0.1	0	0	0.005	4
"ENSMUSG00000038070_Cntln"	0.31	1.38	5.3	3.02	2.005	1.67	1.64	2.445	5
"ENSMUSG00000003354_Ccdc65"	1.05	0.63	1.09	0.825	5.28	4.74	4.165	4.585	9
"ENSMUSG00000047757_Fancb"	5.28	3.44	2.98	1.565	1.095	0.54	0.61	0.555	2
"ENSMUSG00000005686_Ampd3"	3.225	5.35	0.59	0.2	0.385	1.12	1.245	2.505	1
"ENSMUSG00000020901_Pik3r5"	1.175	0.94	1.03	5.15	0.255	0.185	0.16	0.165	5
"ENSMUSG00000034379_Wdr5b"	0.285	0.61	2.79	5.215	4.655	3.1	2.395	2.52	7
"ENSMUSG00000035513_Ntng2"	0.135	0.19	5.35	3.715	1.47	2.255	1.54	1.66	5
"ENSMUSG00000050721_Plekho2"	4.88	2.52	4.15	5.28	1.37	0.775	0.535	0.815	4
"ENSMUSG00000042251_Pm20d1"	4.415	5.36	1.33	0.28	0.29	0.165	0.035	0.045	1
"ENSMUSG00000057329_Bcl2"	0.125	0.23	1.66	2.39	4.085	3.805	4.735	5.285	9
"ENSMUSG00000074743_Thbd"	0.18	0.08	2.81	5.36	1.255	0.215	0.14	0.08	5
"ENSMUSG00000054477_Kcnn2"	1.6	1.66	0.45	1.235	2.86	5.195	3.88	3.81	9
"ENSMUSG00000055809_6030429G01Rik"	4.055	5.39	2.07	0.595	0.63	0.14	0.11	0.1	2
"ENSMUSG00000009876_Cox4i2"	4.35	0.34	0.36	0.015	0.07	0.19	0.1	0.145	1
"ENSMUSG00000036357_Gpr101"	0.005	0	0.01	0.01	0.73	3.535	4.66	5.28	10
"ENSMUSG00000040412_5330417C22Rik"	0.14	0.03	0.06	0.095	2.96	4.34	4.82	5.35	10
"ENSMUSG00000044254_Pcsk9"	4.465	2.99	1.06	0.165	0.38	0.015	0.005	0	1
"ENSMUSG00000050663_Trhde"	0.01	0	0.12	0.315	3.35	5.4	4.515	3.225	9
"ENSMUSG00000059213_Ddn"	0.05	0.07	3.83	0.28	3.27	4.695	4.56	5.37	10
"ENSMUSG00000068614_Actc1"	1.08	1.95	1.9	5.33	0.03	0.035	0.01	0.01	5
"ENSMUSG00000029260_Ugt2b34"	0.08	0.15	5.42	2.335	0.985	0.935	0.505	0.405	5
"ENSMUSG00000036931_Nfkbid"	5.205	1.86	0.66	0.425	0.875	0.615	0.845	0.93	1
"ENSMUSG00000070561_Kcnj11"	0.275	0.08	0.81	0.52	4.195	3.86	3.485	5.3	9
"ENSMUSG00000079466_Prdm12"	0.01	0.01	5.42	1.33	0.12	0.01	0.02	0.01	5
"ENSMUSG00000029456_Acad10"	5	5.43	2.61	1.335	0.57	0.465	0.525	0.975	2
"ENSMUSG00000034265_Zdhhc14"	0.405	0.58	0.89	1.475	5.38	4.835	4.52	4.335	8
"ENSMUSG00000043313_Pcdhb19"	0.01	0.12	2.1	5.015	4.405	2.945	2.115	1.495	7
"ENSMUSG00000052551_Adarb2"	0.015	0.01	0.56	0.97	2.32	4.695	5.275	4.8	10
"ENSMUSG00000070291_Ddx43"	5.4	5.11	0.63	0.19	0.33	0.085	0.01	0.035	1
"ENSMUSG00000051236_Msrb3"	0.475	0.41	5.08	5.395	1.17	0.44	0.325	0.915	5
"ENSMUSG00000023443_Esx1"	4.77	1.84	3.96	0.31	0.315	0.04	0.095	0.015	3
"ENSMUSG00000027962_Vcam1"	0.025	0.06	2.47	5.375	1.39	0.595	0.27	0.265	6
"ENSMUSG00000028033_Kcnq5"	0.155	0.15	1.87	1.665	2.605	5.185	5.355	4.6	9
"ENSMUSG00000028865_Cd164l2"	5.265	2.6	0.41	0.09	0.88	1.355	1.215	3.68	1
"ENSMUSG00000033147_Slc22a15"	0.045	0.08	1.44	5.36	1.575	1.825	1.75	2.075	6
"ENSMUSG00000045876_Pcdhb8"	0.05	0.09	2.59	4.57	5.445	4.49	3.795	2.815	7
"ENSMUSG00000059430_Actg2"	0.165	0.04	0.1	5.06	0.045	0.015	0	0.04	6
"ENSMUSG00000060402_Chst8"	0.225	0.25	1.82	5.205	1.4	2.225	1.04	0.535	6
"ENSMUSG00000058152_Chsy3"	0.135	0.13	1.84	1.96	3.47	4.855	5.37	5.02	9
"ENSMUSG00000090053_Palm2"	0.29	0.22	0.14	0.305	3.46	5.375	4.325	3.12	9
"ENSMUSG00000051920_Rspo2"	0.09	0.12	0.14	0.375	5.04	4.425	5.285	3.425	9
"ENSMUSG00000073968_Trim68"	1.79	2.5	5.49	2.335	0.865	0.52	0.455	0.45	4
"ENSMUSG00000044164_Rnf182"	0.445	0.31	1.26	1.36	5.3	1.77	1.135	1.605	7
"ENSMUSG00000062939_Stat4"	3.77	5.5	0.8	0.27	0.105	0.01	0.025	0.01	1
"ENSMUSG00000033544_Angptl1"	0	0.04	2.28	5.285	0.085	0.03	0.01	0.025	5
"ENSMUSG00000036528_Ppfibp2"	5.465	5.21	1.62	1.34	0.68	0.865	0.82	1.27	1
"ENSMUSG00000074796_Slc4a11"	4.925	2.28	0.31	0.425	0.47	0.175	0.165	0.33	1
"ENSMUSG00000033502_Cdc14a"	1.28	2.53	5.54	3.785	1.015	0.26	0.19	0.175	4
"ENSMUSG00000059631_1500035N22Rik"	0.015	0	0.01	0	5.435	2.44	1.155	0.995	8
"ENSMUSG00000019464_Ptger1"	0.32	0.98	3.64	3.935	5.365	3.77	3.6	4.32	7
"ENSMUSG00000042686_Jph1"	4.39	5.55	1.12	0.75	0.675	0.455	0.705	0.705	1
"ENSMUSG00000048988_Elfn1"	0.195	0.19	0.44	0.7	2.475	5.345	4.05	3.345	9
"ENSMUSG00000049999_Ppp1r3d"	0.205	0.25	0.68	2.96	2.77	5.46	3.21	1.84	8
"ENSMUSG00000033114_Slc35d2"	5.53	3.79	3.95	1.54	0.325	0.14	0.11	0.105	3
"ENSMUSG00000034435_Tmem30b"	5.55	2.56	1.4	0.62	0.23	0.13	0.05	0.065	1
"ENSMUSG00000057103_Cml1"	0.795	0.7	1.48	2.05	3.795	2.995	3.86	5.405	9
"ENSMUSG00000022218_Tgm1"	5.41	0.89	0.85	0.25	0.11	0.045	0.01	0.03	1
"ENSMUSG00000032502_Stac"	0.025	0.01	0.32	0.155	1.72	5.03	4.32	3.005	9
"ENSMUSG00000035165_Kcne3"	0.04	0.05	5.57	2.69	0.155	0.035	0.035	0.015	5
"ENSMUSG00000037600_1810019J16Rik"	4.545	5.57	1.47	0.905	0.415	0.11	0.05	0.025	2
"ENSMUSG00000019888_Mgat4c"	0.065	0.01	0.77	2.475	3.555	5.375	5.41	5.28	9
"ENSMUSG00000032281_Acsbg1"	0.575	0.13	0.9	0.645	3.35	3.44	3.02	5	9
"ENSMUSG00000041445_Mmrn2"	5.435	2.32	0.34	0.29	0.17	0.02	0.02	0.015	1
"ENSMUSG00000006386_Tek"	4.13	5.29	5.59	2.645	0.28	0.2	0.09	0.095	3
"ENSMUSG00000026873_Phf19"	5.58	3.15	2	0.98	1.91	0.155	0.095	0.085	1
"ENSMUSG00000020583_Matn3"	4.93	4.4	0.8	0.095	0.13	0.035	0.01	0.02	1
"ENSMUSG00000035686_Thrsp"	1.83	0.41	0.12	0.1	0.7	2.13	3.535	5.07	10
"ENSMUSG00000066885_Ptprv"	4.64	4.72	0.25	0.64	3.55	3.29	2.465	3.605	1
"ENSMUSG00000039337_Tex19.2"	4.66	1.63	0.4	0.06	0.07	0.005	0	0.005	1
"ENSMUSG00000019853_Hebp2"	5.165	5.63	3.44	1.525	0.665	0.97	0.815	0.94	2
"ENSMUSG00000075284_Wipf1"	2.74	4.94	5.63	2.93	1.415	0.49	0.385	0.605	4
"ENSMUSG00000032999_Nlrp4f"	4.655	2.39	0.16	0.155	0.195	0.15	0.095	0.09	1
"ENSMUSG00000000392_Fap"	0	0.01	5.65	4.42	1.505	2.26	1.245	1.335	5
"ENSMUSG00000020268_Lyrm7"	1.08	0.49	1.37	1.34	2.79	4.17	5.45	5.585	10
"ENSMUSG00000022197_Pdzd2"	0.9	0.53	1.57	1.15	2.73	5.27	2.495	1.7	8
"ENSMUSG00000034786_Gpsm3"	4.91	4.01	0.53	0.335	0.375	0.37	0.245	0.42	1
"ENSMUSG00000025221_Kcnip2"	2.785	5.07	0.45	1.035	2.635	5.14	4.71	4.535	10
"ENSMUSG00000035773_Kiss1r"	0.375	0.14	0.48	0.9	2.77	3.365	4.64	5.4	10
"ENSMUSG00000054555_Adam12"	0.01	0.2	1.12	5.23	0.605	0.44	0.145	0.13	6
"ENSMUSG00000073000_Gm10451"	5.39	5.06	0.92	0.505	0.475	0.07	0.055	0.06	1
"ENSMUSG00000036800_Fam135b"	0.025	0.01	0.2	0.105	2.75	4.78	5.24	4.93	10
"ENSMUSG00000050397_Foxl2"	0.015	0.1	1.01	1.46	2.99	3.085	3.86	5.585	10
"ENSMUSG00000054057_A930004D18Rik"	0.575	1.75	3.2	5.46	1.435	1.65	2.08	2.665	6
"ENSMUSG00000066438_3830431G21Rik"	3.625	1.77	0.46	0.15	1.91	4.955	3.585	4.84	10
"ENSMUSG00000074653_Lrrc31"	1.87	5.68	0.08	0	0.04	0.005	0.01	0	2
"ENSMUSG00000023336_Wfdc1"	0.535	0.06	4.89	5.665	1.62	0.75	0.275	0.075	5
"ENSMUSG00000024008_Cpne5"	2.565	1.76	0.86	0.255	5.655	4.435	1.695	0.705	8
"ENSMUSG00000035441_Myo1d"	1.77	1.92	5.69	3.705	0.845	0.68	0.44	0.64	4
"ENSMUSG00000046295_Ankle1"	2.02	4.52	5.69	1.3	0.68	0.035	0.025	0.055	4
"ENSMUSG00000000247_Lhx2"	0.43	0.74	2.15	1.515	5.265	0.52	0.385	0.285	7
"ENSMUSG00000015053_Gata2"	0.63	0.18	5.7	1.04	0.42	0.745	0.935	0.895	5
"ENSMUSG00000021260_Hhipl1"	0.09	0.15	1.53	0.65	1.49	4.725	5.405	5.055	10
"ENSMUSG00000044646_Zbtb7c"	0.33	0.32	5.71	4.79	4.275	4.355	2.945	1.665	6
"ENSMUSG00000067878_Mtap7d3"	4.265	5.71	1.8	0.545	0.45	0.045	0.025	0.01	2
"ENSMUSG00000020437_Myo1g"	4.68	0.77	0.03	0.015	0.04	0.01	0.015	0.02	1
"ENSMUSG00000027931_Npr1"	5.665	1.79	4.29	1.05	0.84	0.445	0.67	0.745	3
"ENSMUSG00000000125_Wnt3"	0.21	1.09	5.74	1.49	1.67	1.32	1.115	0.89	5
"ENSMUSG00000023963_Cyp39a1"	2.73	3.98	5.74	1.385	0.78	0.345	0.305	0.255	4
"ENSMUSG00000029334_Prkg2"	0.275	0.38	5.74	1.185	0.445	1.075	1.325	1.275	5
"ENSMUSG00000050197_Rhox13"	5.44	0.75	3.01	0.59	0.225	0	0	0.015	3
"ENSMUSG00000091387_AC174082.1"	0.295	0.69	5.74	0.36	0.105	0.1	0.115	0.245	4
"ENSMUSG00000005583_Mef2c"	0.205	0.43	1.07	0.895	4.255	3.985	5.545	5.37	9
"ENSMUSG00000039116_Gpr126"	0.07	0.72	5.76	1.37	0.74	0.35	0.3	0.405	5
"ENSMUSG00000044197_Gpr146"	0.08	0.2	5.76	3.475	0.425	0.335	0.3	0.345	5
"ENSMUSG00000026051_1500015O10Rik"	1.565	0.77	0.17	0.865	5.565	0.43	0.395	0.575	7
"ENSMUSG00000074766_Ism1"	0.035	0.07	5.77	3.52	1.705	0.89	0.93	1.02	5
"ENSMUSG00000002769_Gnmt"	5.175	3.06	0.46	0.495	0.38	0.195	0.2	0.635	1
"ENSMUSG00000042357_Gjb5"	4.92	1.81	2.16	1.735	0.685	0.18	0.045	0.025	2
"ENSMUSG00000044447_Dock5"	5.455	5.79	3.1	2.375	0.59	0.19	0.12	0.165	2
"ENSMUSG00000073591_Pcdhb22"	0.085	0.21	5.12	5.625	4.455	2.94	2.215	1.895	6
"ENSMUSG00000027199_Gatm"	4.835	2.15	1.95	0.62	1.175	0.75	0.405	0.205	1
"ENSMUSG00000019734_Tmc4"	1.85	4.58	5.82	3.36	1.15	0.485	0.485	1.26	4
"ENSMUSG00000021253_Tgfb3"	0.135	0.26	5.82	4.405	1.7	1.65	1.125	1.445	5
"ENSMUSG00000038352_Arl5c"	5.68	4.02	2.96	1.095	0.38	0.245	0.12	0.225	2
"ENSMUSG00000071757_Zhx2"	0.275	1.35	5.64	2.94	5.805	3.095	3.11	2.835	7
"ENSMUSG00000072919_4933437F05Rik"	5.355	2.68	0.7	1.355	0.665	0.48	0.475	1.31	1
"ENSMUSG00000022864_D16Ertd472e"	5.675	4.57	4.36	2.73	1.13	0.435	0.38	0.31	3
"ENSMUSG00000074622_Mafb"	0.125	0.32	5.55	5.43	1.97	1.75	1.18	1.53	5
"ENSMUSG00000069041_Slc25a31"	5.335	2.57	4.29	0.845	0.105	0.095	0.025	0.015	3
"ENSMUSG00000044037_Als2cl"	5.295	4.86	1.28	0.82	0.57	0.365	0.305	0.34	1
"ENSMUSG00000035594_Chrna5"	0.615	0.27	5.87	2.485	1.11	3.47	4.005	3.18	6
"ENSMUSG00000026200_Glb1l"	0.545	1.44	5.88	4.28	3.175	1.13	1.02	1.44	5
"ENSMUSG00000050335_Lgals3"	5.275	3.52	0.32	0.44	1.36	0.685	0.29	0.395	1
"ENSMUSG00000056498_Tmem154"	0.935	5.88	0.01	0.01	0.045	0.02	0.005	0.01	2
"ENSMUSG00000032017_Grik4"	0.12	0.28	0.94	1.185	3.985	5.21	4.92	5.85	9
"ENSMUSG00000040701_Ap1g2"	4.42	4.65	5.89	3.18	2.47	0.675	0.545	1.34	3
"ENSMUSG00000020175_Rab36"	0.21	0.5	2.49	1.6	4.655	4.785	4.45	5.83	9
"ENSMUSG00000028584_Lrrc38"	0.12	0.52	4.92	5.605	0.705	0.25	0.265	0.34	5
"ENSMUSG00000030351_Tspan11"	0.02	0.04	4.46	5.855	0.49	0.29	0.175	0.27	5
"ENSMUSG00000038059_2010002N04Rik"	5.83	2.6	3.91	2.915	0.65	0.27	0.16	0.1	3
"ENSMUSG00000059401_Mamld1"	0.07	0.16	5.47	4.24	3.76	3.97	4.25	5.49	7
"ENSMUSG00000010751_Tnfrsf22"	5.08	5.91	3.28	1.2	1.195	0.52	0.265	0.255	2
"ENSMUSG00000026630_Batf3"	3.795	1.36	5.91	1.52	0.985	0.59	0.14	0.18	4
"ENSMUSG00000038578_Susd1"	1.65	1.29	2.57	0.65	1.8	4.705	5.455	4.47	10
"ENSMUSG00000038665_Dgki"	0.175	0.15	0.31	1.34	3.765	5.505	5.82	5.04	9
"ENSMUSG00000053702_Nebl"	0.105	0.37	1.37	4.1	1.745	3.52	4.125	5.89	10
"ENSMUSG00000021950_Anxa8"	5.83	3.91	0.02	0.085	0.255	0.49	0.075	0.155	1
"ENSMUSG00000047959_Kcna3"	0.305	0.21	0.69	0.165	2.39	5.77	4.175	3.16	9
"ENSMUSG00000033594_Spata2L"	0.185	0.21	0.91	1.245	5.255	5.81	4.975	3.07	8
"ENSMUSG00000000317_Bcl6b"	4.745	1.21	1.45	0.245	0.715	0.205	0.115	0.09	1
"ENSMUSG00000054932_Afp"	0.01	4.53	5.96	0.695	0.04	0.08	0.1	0.13	4
"ENSMUSG00000060212_Pcnxl2"	0.26	0.08	0.06	0.23	0.76	2.77	3.68	5.84	10
"ENSMUSG00000001665_Gstt3"	5.965	4.46	2.04	1.525	0.685	0.65	0.43	0.76	1
"ENSMUSG00000032643_Fhl3"	5.755	3.88	4.17	4.04	1.88	0.915	0.485	0.79	3
"ENSMUSG00000023885_Thbs2"	0.24	0.3	0.45	5.88	5.555	5.335	3.005	4.87	7
"ENSMUSG00000024593_Megf10"	0.035	0.11	5.99	1.435	1.68	0.45	0.405	0.525	5
"ENSMUSG00000023826_Park2"	0.195	0.1	0.47	0.64	2.555	4.865	5.44	5.715	10
"ENSMUSG00000029570_Lfng"	1.005	0.29	6.02	3.215	2.95	0.535	0.265	0.315	5
"ENSMUSG00000033007_Accn4"	0.015	0.09	5.19	3.98	1.345	5.82	3.42	2.24	6
"ENSMUSG00000036466_Megf11"	2.12	0.67	1.3	1.48	4.865	5.885	5.14	3.78	9
"ENSMUSG00000026435_Slc45a3"	1.26	0.97	6.04	5.705	0.67	0.265	0.215	0.25	5
"ENSMUSG00000042616_Oscp1"	0.675	0.74	3.26	3.515	5.54	6.015	5.015	4.875	8
"ENSMUSG00000033107_Rnf125"	5.885	5.85	0.77	0.26	0.37	0.175	0.055	0.055	1
"ENSMUSG00000040624_Plekhg1"	3.425	2.01	6.06	3.13	2.565	1.105	0.575	0.43	4
"ENSMUSG00000070780_Rbm47"	6.02	3.91	2.97	1.72	0.44	0.115	0.04	0.05	2
"ENSMUSG00000032446_Eomes"	2	6.08	0.31	0.295	0.35	0.015	0.025	0.025	2
"ENSMUSG00000034903_Cobll1"	1.76	4.62	6.1	3.925	1.14	0.405	0.275	0.385	4
"ENSMUSG00000041762_Gpr155"	0.545	0.36	1.57	1.835	5.695	5.91	5.605	5.04	8
"ENSMUSG00000022483_Col2a1"	3.625	3.13	6.11	0.65	2.16	0.11	0.045	0.135	4
"ENSMUSG00000042082_Arsb"	0.52	0.67	6.11	5.81	1.98	2.2	2.315	2.675	5
"ENSMUSG00000091744_AC124383.1"	0.015	0.02	0.13	1.52	3.5	5.63	5.415	4.9	9
"ENSMUSG00000038473_Nos1ap"	0.325	0.3	1.73	2.905	5.235	5.65	6.05	5.525	8
"ENSMUSG00000066197_Gpr139"	0.055	0.02	0.12	0.185	2.055	5.815	3.66	2.32	9
"ENSMUSG00000019880_Rspo3"	0.305	2.05	1.07	4.23	1.43	1.795	3.07	5.835	10
"ENSMUSG00000027978_Prss12"	0.05	3.29	5.84	1.68	6.105	2.585	1.54	0.955	6
"ENSMUSG00000031621_Isx"	0.03	0.02	6.13	5.83	0.375	0.24	0.085	0.07	5
"ENSMUSG00000039115_Itga9"	1.15	2.88	3.84	6.045	0.72	0.66	0.645	0.5	5
"ENSMUSG00000038227_Hoxa9"	0.025	0.05	2.26	5.715	0.91	0.215	0.155	0.135	6
"ENSMUSG00000000753_Serpinf1"	1.87	0.41	1.49	1.855	2.72	5.15	4.205	4.475	10
"ENSMUSG00000036972_Zic4"	0.005	0.02	3.41	1.915	6.06	0.575	0.34	0.335	6
"ENSMUSG00000040274_Cdk6"	5.04	6.15	2.46	1.035	0.51	0.175	0.3	0.265	2
"ENSMUSG00000042425_Frmpd3"	0.015	0.03	0.38	0.72	1.58	4.175	5.67	5.77	10
"ENSMUSG00000079547_H2-DMb1"	4.985	2.3	0.44	0.28	0.12	0.095	0.095	0.295	1
"ENSMUSG00000005320_Fgfr4"	2.19	1	6.17	1.935	0.59	0.07	0.05	0.03	4
"ENSMUSG00000022102_Dok2"	5.56	1.34	0.42	0.625	0.525	0.205	0.175	0.255	1
"ENSMUSG00000024868_Dkk1"	0.16	3.62	6.17	4.295	0.89	0.125	0.08	0.06	4
"ENSMUSG00000027297_Ltk"	0.235	0.43	0.58	0.355	1.345	1.935	2.475	6.015	10
"ENSMUSG00000030256_Bhlhe41"	0.51	0.98	0.13	0.09	0.92	2.72	3.93	6.17	10
"ENSMUSG00000038156_Spon1"	0.295	0.4	3.16	1.78	5.67	6.075	5.08	4.33	8
"ENSMUSG00000040525_Cblc"	5.11	2.59	0.51	0.22	0.12	0.01	0.055	0.02	1
"ENSMUSG00000050623_1700019N12Rik"	5.77	4.72	1.41	0.23	0.39	0.63	0.5	0.7	1
"ENSMUSG00000073062_Zxdb"	0.445	1.05	4.5	4.68	4.6	5.99	5.945	5.88	8
"ENSMUSG00000026114_Cnga3"	5.9	2.16	0.11	0.03	0.065	0.025	0.015	0.02	1
"ENSMUSG00000023403_Stk31"	5.915	4.15	1.68	0.21	0.24	0.005	0.03	0.01	1
"ENSMUSG00000045613_Chrm2"	0.01	0	0.06	0.075	1.9	4.485	5.76	6.17	10
"ENSMUSG00000037035_Inhbb"	3.205	0.83	0.23	0.375	1.54	3.26	5.345	6.185	10
"ENSMUSG00000025504_Eps8l2"	5.515	4.87	1.77	1.33	0.65	0.265	0.125	0.125	1
"ENSMUSG00000018166_Erbb3"	5	3.12	0.48	0.235	0.32	0.075	0.035	0.05	1
"ENSMUSG00000021696_Elovl7"	1.305	2.47	6.23	2.17	0.545	0.665	0.66	0.69	4
"ENSMUSG00000066307_Rad54b"	4.695	6.23	4.27	1.08	0.8	0.23	0.05	0.075	3
"ENSMUSG00000072855_Gm10430"	0.04	0.05	2.96	6.12	2.95	1.425	1.035	0.905	6
"ENSMUSG00000038624_Nepn"	0.005	0.11	6.25	0.67	0.71	0.56	0.28	0.325	5
